2023-07-06 16:35:20,823 INFO    StreamThr :28139 [internal.py:wandb_internal():86] W&B internal server running at pid: 28139, started at: 2023-07-06 16:35:20.822841
2023-07-06 16:35:20,826 DEBUG   HandlerThread:28139 [handler.py:handle_request():144] handle_request: status
2023-07-06 16:35:20,829 INFO    WriterThread:28139 [datastore.py:open_for_write():85] open: /workspace/CSR/QARepVGG/QARepVGG_try/wandb/run-20230706_163520-q18d2kaw/run-q18d2kaw.wandb
2023-07-06 16:35:20,832 DEBUG   SenderThread:28139 [sender.py:send():369] send: header
2023-07-06 16:35:20,851 DEBUG   SenderThread:28139 [sender.py:send():369] send: run
2023-07-06 16:35:21,361 INFO    SenderThread:28139 [dir_watcher.py:__init__():211] watching files in: /workspace/CSR/QARepVGG/QARepVGG_try/wandb/run-20230706_163520-q18d2kaw/files
2023-07-06 16:35:21,361 INFO    SenderThread:28139 [sender.py:_start_run_threads():1100] run started: q18d2kaw with start time 1688661320.82018
2023-07-06 16:35:21,364 DEBUG   SenderThread:28139 [sender.py:send_request():396] send_request: summary_record
2023-07-06 16:35:21,364 INFO    SenderThread:28139 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-07-06 16:35:21,374 DEBUG   HandlerThread:28139 [handler.py:handle_request():144] handle_request: check_version
2023-07-06 16:35:21,374 DEBUG   SenderThread:28139 [sender.py:send_request():396] send_request: check_version
2023-07-06 16:35:21,435 DEBUG   HandlerThread:28139 [handler.py:handle_request():144] handle_request: run_start
2023-07-06 16:35:21,515 DEBUG   HandlerThread:28139 [system_info.py:__init__():31] System info init
2023-07-06 16:35:21,515 DEBUG   HandlerThread:28139 [system_info.py:__init__():46] System info init done
2023-07-06 16:35:21,515 INFO    HandlerThread:28139 [system_monitor.py:start():181] Starting system monitor
2023-07-06 16:35:21,515 INFO    SystemMonitor:28139 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-07-06 16:35:21,515 INFO    HandlerThread:28139 [system_monitor.py:probe():201] Collecting system info
2023-07-06 16:35:21,516 INFO    SystemMonitor:28139 [interfaces.py:start():190] Started cpu monitoring
2023-07-06 16:35:21,517 INFO    SystemMonitor:28139 [interfaces.py:start():190] Started disk monitoring
2023-07-06 16:35:21,518 INFO    SystemMonitor:28139 [interfaces.py:start():190] Started gpu monitoring
2023-07-06 16:35:21,519 INFO    SystemMonitor:28139 [interfaces.py:start():190] Started memory monitoring
2023-07-06 16:35:21,520 INFO    SystemMonitor:28139 [interfaces.py:start():190] Started network monitoring
2023-07-06 16:35:21,681 DEBUG   HandlerThread:28139 [system_info.py:probe():195] Probing system
2023-07-06 16:35:21,696 DEBUG   HandlerThread:28139 [system_info.py:_probe_git():180] Probing git
2023-07-06 16:35:21,726 DEBUG   HandlerThread:28139 [system_info.py:_probe_git():188] Probing git done
2023-07-06 16:35:21,726 DEBUG   HandlerThread:28139 [system_info.py:probe():240] Probing system done
